Date,ProcessID,IncidentType,Status,ResolutionTime_Hours
2025-05-19,103,Таймаут API (LLM),Решено,46
2023-11-07,106,Изменение структуры источника,Решено,39
2023-01-28,104,Ошибка валидации данных,Решено,26
2023-03-11,107,Блокировка доступа к БД,Решено,26
2023-06-17,102,Изменение структуры источника,Решено,7
2024-07-09,104,Изменение структуры источника,Решено,43
2023-11-14,103,Изменение структуры источника,Решено,11
2024-09-05,106,Блокировка доступа к БД,Эскалировано,0
2024-09-23,107,Таймаут API (LLM),Эскалировано,0
2023-08-30,103,Таймаут API (LLM),Решено,30
2025-09-11,104,Ошибка валидации данных,В работе,0
2025-12-11,108,Таймаут API (LLM),Решено,24
2025-09-11,106,Ошибка валидации данных,Решено,39
2023-09-29,104,Ошибка валидации данных,Решено,34
2023-10-21,107,Ошибка валидации данных,Решено,22
2025-04-27,108,Изменение структуры источника,Решено,44
2025-12-06,103,Таймаут API (LLM),В работе,0
2024-04-09,101,Блокировка доступа к БД,Решено,13
2023-07-13,102,Изменение структуры источника,Решено,28
2025-11-15,103,Ошибка валидации данных,Решено,33
2023-03-23,106,Таймаут API (LLM),Решено,9
2023-02-13,108,Таймаут API (LLM),Решено,33
2024-12-20,103,Таймаут API (LLM),Решено,5
2023-04-20,103,Изменение структуры источника,Решено,41
2024-09-28,101,Блокировка доступа к БД,Решено,11
2023-04-07,108,Изменение структуры источника,В работе,0
2025-04-10,101,Таймаут API (LLM),Решено,1
2024-05-10,107,Таймаут API (LLM),Решено,1
2025-01-29,105,Ошибка валидации данных,Решено,1
2024-05-03,104,Блокировка доступа к БД,Решено,40
2024-07-10,104,Таймаут API (LLM),В работе,0
2024-01-06,102,Блокировка доступа к БД,Решено,46
2025-02-11,106,Изменение структуры источника,Решено,36
2025-07-05,106,Блокировка доступа к БД,Решено,39
2024-08-09,105,Ошибка валидации данных,Решено,37
2025-01-31,107,Таймаут API (LLM),Решено,15
2025-05-17,105,Таймаут API (LLM),Решено,25
2024-07-21,105,Изменение структуры источника,Решено,4
2024-09-05,107,Блокировка доступа к БД,Эскалировано,0
2023-03-22,104,Изменение структуры источника,Решено,45
2023-05-05,101,Таймаут API (LLM),Решено,23
2024-12-22,108,Таймаут API (LLM),Решено,17
2025-03-17,101,Изменение структуры источника,Эскалировано,0
2025-07-09,106,Ошибка валидации данных,Решено,44
2024-05-11,103,Ошибка валидации данных,Решено,17
2024-08-13,105,Таймаут API (LLM),Решено,32
2025-09-15,106,Ошибка валидации данных,Решено,36
2023-07-30,103,Таймаут API (LLM),Решено,36
2024-01-25,105,Таймаут API (LLM),Решено,9
2024-05-05,108,Ошибка валидации данных,Решено,17
2025-04-07,105,Изменение структуры источника,В работе,0
2024-05-20,102,Блокировка доступа к БД,Решено,44
